Uniprot Entry,Accession Name,Protein Name,Organism,Brain Parts,Biological Process,Molecular Function,Cellular Component,Papers
Q9Z2J0,S23A1_MOUSE,Solute carrier family 23 member 1,Mus musculus (Mouse),['Medulla'],"GO:0051179, GO:0032502, GO:0009987, GO:0050896",GO:0005215,"GO:0016020, GO:0005622, GO:0031224, GO:0098862","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9EPR4,S23A2_MOUSE,Solute carrier family 23 member 2,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb']","GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152",GO:0005215,"GO:0016020, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q60714,S27A1_MOUSE,Long-chain fatty acid transport protein 1 {ECO:0000305},Mus musculus (Mouse),"['Medulla', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152, GO:0032501","GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q91VE0,S27A4_MOUSE,Long-chain fatty acid transport protein 4 {ECO:0000305},Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0051179, GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501","GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0042995","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
D3YVE8,S35G2_MOUSE,Solute carrier family 35 member G2,Mus musculus (Mouse),"['Medulla', 'Hipocampus', 'Olfactory_balb']",nan,nan,"GO:0043226, GO:0016020, GO:0005622, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q8CFE6,S38A2_MOUSE,Sodium-coupled neutral amino acid transporter 2,Mus musculus (Mouse),"['Medulla', 'Olfactory_balb']","GO:0051179, GO:0065007, GO:0050896, GO:0032502, GO:0051704, GO:0009987, GO:0022414, GO:0032501",GO:0005215,"GO:0031224, GO:0044297, GO:0016020, GO:0098862, GO:0042995","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q78IQ7,S39A4_MOUSE,Zinc transporter ZIP4,Mus musculus (Mouse),['Medulla'],"GO:0051179, GO:0065007, GO:0009987, GO:0050896",GO:0005215,"GO:0043226, GO:0016020, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q80VA5,S3TC2_MOUSE,SH3 domain and tetratricopeptide repeat-containing protein 2,Mus musculus (Mouse),['Medulla'],"GO:0065007, GO:0009987",nan,"GO:0043226, GO:0016020","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q8CFS3,S4A10_MOUSE,Sodium-driven chloride bicarbonate exchanger {ECO:0000303|PubMed:10993873},Mus musculus (Mouse),"['Medulla', 'Hipocampus', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0065007, GO:0051179, GO:0007610, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",GO:0005215,"GO:0098793, GO:0031224, GO:0044297, GO:0044306, GO:0016020, GO:0030054, GO:0042995","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
O88343,S4A4_MOUSE,Electrogenic sodium bicarbonate cotransporter 1,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0065007, GO:0009987, GO:0051179","GO:0005215, GO:0005488","GO:0016020, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q8BXR1,S7A14_MOUSE,Probable cationic amino acid transporter,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Cortex']","GO:0065007, GO:0051179",GO:0005215,"GO:0043226, GO:0016020, GO:0005622, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9EP69,SAC1_MOUSE,Phosphatidylinositol-3-phosphatase SAC1,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987",GO:0003824,"GO:0043226, GO:0031224, GO:0044232, GO:0016020, GO:0005622, GO:0043235, GO:0098796, GO:1990351","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q68FL4,SAHH3_MOUSE,Putative adenosylhomocysteinase 3,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0008152, GO:0009987",GO:0003824,"GO:0043226, GO:0005622, GO:0042995","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9DA37,SAMD8_MOUSE,Sphingomyelin synthase-related protein 1 {ECO:0000305},Mus musculus (Mouse),"['Medulla', 'Olfactory_balb']","GO:0008152, GO:0065007, GO:0009987",GO:0003824,"GO:0043226, GO:0005622, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q60648,SAP3_MOUSE,Ganglioside GM2 activator {ECO:0000305},Mus musculus (Mouse),"['Medulla', 'Olfactory_balb', 'Cortex']","GO:0065007, GO:0051179, GO:0007610, GO:0009987, GO:0008152, GO:0032501","GO:0003824, GO:0005215, GO:0098772","GO:0043226, GO:0098552, GO:0005622, GO:0016020","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q61207,SAP_MOUSE,Prosaposin,Mus musculus (Mouse),"['Medulla', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0065007, GO:0051179, GO:0007610, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0022414, GO:0032501","GO:0003824, GO:0005488","GO:0043226, GO:0005622","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q6PDS3,SARM1_MOUSE,NAD(+) hydrolase SARM1 {ECO:0000305},Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Cerebellum', 'Cortex']","GO:0065007, GO:0050896, GO:0009987, GO:0002376, GO:0008152, GO:0044419","GO:0003824, GO:0005488, GO:0060090","GO:0043226, GO:0099080, GO:0005622, GO:0019898, GO:0030054, GO:0042995","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
O35874,SATT_MOUSE,Neutral amino acid transporter A,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0051179, GO:0009987, GO:0032501",GO:0005215,"GO:0043226, GO:0031224, GO:0044297, GO:0099080, GO:0016020, GO:0005815, GO:0042995","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
P17563,SBP1_MOUSE,Methanethiol oxidase {ECO:0000303|PubMed:29255262},Mus musculus (Mouse),"['Medulla', 'Hipocampus', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0051179, GO:0032502, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0005622","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q01405,SC23A_MOUSE,Protein transport protein Sec23A {ECO:0000305},Mus musculus (Mouse),"['Medulla', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0051179, GO:0009987","GO:0005488, GO:0098772","GO:0043226, GO:0016020, GO:0098796","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q3UPL0,SC31A_MOUSE,Protein transport protein Sec31A,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Cerebellum', 'Cortex']","GO:0051179, GO:0009987, GO:0050896",GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0098796","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q923I7,SC5A2_MOUSE,Sodium/glucose cotransporter 2,Mus musculus (Mouse),['Medulla'],"GO:0051179, GO:0065007, GO:0009987, GO:0032501",GO:0005215,"GO:0016020, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q761V0,SC6A5_MOUSE,Sodium- and chloride-dependent glycine transporter 2,Mus musculus (Mouse),['Medulla'],"GO:0023052, GO:0065007, GO:0009987, GO:0051179","GO:0005215, GO:0005488","GO:0043226, GO:0016020, GO:0031224, GO:0030054","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
P28571,SC6A9_MOUSE,Sodium- and chloride-dependent glycine transporter 1,Mus musculus (Mouse),"['Medulla', 'Cerebellum']","GO:0065007, GO:0009987, GO:0051179",GO:0005215,"GO:0043226, GO:0016020, GO:0031224, GO:0030054","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
O35609,SCAM3_MOUSE,Secretory carrier-associated membrane protein 3,Mus musculus (Mouse),"['Medulla', 'Hipocampus', 'Cortex']","GO:0051179, GO:0009987, GO:0050896",GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0031224","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q8BRF7,SCFD1_MOUSE,Sec1 family domain-containing protein 1,Mus musculus (Mouse),"['Medulla', 'Olfactory_balb', 'Mid_Brain', 'Cortex']","GO:0051179, GO:0065007, GO:0050896, GO:0032502, GO:0009987",GO:0005488,"GO:0043226, GO:0016020, GO:0005622","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q03517,SCG2_MOUSE,Secretogranin-2,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Cortex']","GO:0065007, GO:0032502, GO:0009987, GO:0040011, GO:0002376","GO:0005488, GO:0098772",GO:0043226,"['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q56A07,SCN2B_MOUSE,Sodium channel subunit beta-2,Mus musculus (Mouse),"['Medulla', 'Hipothalamus', 'Hipocampus', 'Olfactory_balb', 'Mid_Brain', 'Cerebellum', 'Cortex']","GO:0065007, GO:0023052, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0032501","GO:0005215, GO:0098772","GO:0098796, GO:1990351","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q9JJV9,SCN5A_MOUSE,Sodium channel protein type 5 subunit alpha,Mus musculus (Mouse),['Medulla'],"GO:0065007, GO:0051179, GO:0023052, GO:0050896, GO:0032502, GO:0009987, GO:0032501","GO:0005215, GO:0005488","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0030054, GO:0098796, GO:1990351","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q78YZ6,SCOC_MOUSE,Short coiled-coil protein,Mus musculus (Mouse),"['Medulla', 'Cortex']",GO:0065007,nan,"GO:0043226, GO:0016020, GO:0005622, GO:0031984","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q8VCA8,SCRN2_MOUSE,Secernin-2,Mus musculus (Mouse),"['Medulla', 'Hipothalamus']",nan,GO:0003824,nan,"['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
O08992,SDCB1_MOUSE,Syntenin-1,Mus musculus (Mouse),"['Medulla', 'Cortex']","GO:0065007, GO:0023052, GO:0009987",GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0043235, GO:0030054, GO:0098796","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
Q8R238,SDSL_MOUSE,Serine dehydratase-like,Mus musculus (Mouse),['Medulla'],"GO:0008152, GO:0009987","GO:0003824, GO:0005488","GO:0043226, GO:0005622","['Proteomic Analysis of Normal Murine Brain Parts (VASILIKI K. TARASLIA, ALEXANDROS KOUSKOUKIS, ATHANASIOS K. ANAGNOSTOPOULOS, DIMITRIOS J. STRAVOPODIS, LUKAS H. MARGARITIS, GEORGE TH. TSANGARIS)', 'Normal Mouse Brain Proteome II: Analysis of Brain Regions by High-resolution Mass Spectrometry (ARTEMIS G. KOROVESI, ATHANASIOS K. ANAGNOSTOPOULOS, VASILEIOS PIERROS, DIMITRIOS J. STRAVOPODIS, GEORGE TH. TSANGARIS']"
